date,exchange,status,start_time,end_time,holiday_name
2010-01-18,NYSE,closed,,,Martin Luther King's Birthday
2010-02-15,NYSE,closed,,,Washington's Birthday
2010-04-02,NYSE,closed,,,Good Friday
2010-05-31,NYSE,closed,,,Memorial Day
2010-07-05,NYSE,closed,,,Independence Day Observed
2010-09-06,NYSE,closed,,,Labor Day
2010-11-25,NYSE,closed,,,Thanksgiving Day
2010-11-26,NYSE,short day,09:30,13:00,Black Friday
2010-12-24,NYSE,closed,,,Christmas Day Observed
2011-01-17,NYSE,closed,,,Martin Luther King's Birthday
2011-02-21,NYSE,closed,,,Washington's Birthday
2011-04-22,NYSE,closed,,,Good Friday
2011-05-30,NYSE,closed,,,Memorial Day
2011-07-04,NYSE,closed,,,Independence Day
2011-09-05,NYSE,closed,,,Labor Day
2011-11-24,NYSE,closed,,,Thanksgiving Day
2011-11-25,NYSE,short day,09:30,13:00,Black Friday
2011-12-26,NYSE,closed,,,Christmas Day Observed
2012-01-02,NYSE,closed,,,New Year's Day Observed
2012-01-16,NYSE,closed,,,Martin Luther King's Birthday
2012-02-20,NYSE,closed,,,Washington's Birthday
2012-04-06,NYSE,closed,,,Good Friday
2012-05-28,NYSE,closed,,,Memorial Day
2012-07-03,NYSE,short day,09:30,13:00,Independence Day
2012-07-04,NYSE,closed,,,Independence Day
2012-09-03,NYSE,closed,,,Labor Day
2012-10-29,NYSE,closed,,,Special Holiday
2012-10-30,NYSE,closed,,,Special Holiday
2012-11-22,NYSE,closed,,,Thanksgiving Day
2012-11-23,NYSE,short day,09:30,13:00,Black Friday
2012-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2012-12-25,NYSE,closed,,,Christmas Day
2013-01-01,NYSE,closed,,,New Year's Day
2013-01-21,NYSE,closed,,,Martin Luther King's Birthday
2013-02-18,NYSE,closed,,,Washington's Birthday
2013-03-29,NYSE,closed,,,Good Friday
2013-05-27,NYSE,closed,,,Memorial Day
2013-07-03,NYSE,short day,09:30,13:00,Independence Day
2013-07-04,NYSE,closed,,,Independence Day
2013-09-02,NYSE,closed,,,Labor Day
2013-11-28,NYSE,closed,,,Thanksgiving Day
2013-11-29,NYSE,short day,09:30,13:00,Black Friday
2013-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2013-12-25,NYSE,closed,,,Christmas Day
2014-01-01,NYSE,closed,,,New Year's Day
2014-01-20,NYSE,closed,,,Martin Luther King's Birthday
2014-02-17,NYSE,closed,,,Washington's Birthday
2014-04-18,NYSE,closed,,,Good Friday
2014-05-26,NYSE,closed,,,Memorial Day
2014-07-03,NYSE,short day,09:30,13:00,Independence Day
2014-07-04,NYSE,closed,,,Independence Day
